Fabricante,Ano,Modelo,Tipo,Raridade,Pais,Valor
Honda,2009,S2000 CR,Modern Sports Cars,Common,JP,25000
Honda,2015,Ridgeline Baja Trophy Truck,Unlimited Offroad,Epic,JP,500000
Honda,2016,Civic Coupe,Rally Monsters,Epic,JP,155000
Honda,2016,Civic Type R,Super Hot Hatch,Common,JP,38000
Honda,2018,Civic Type R,Super Hot Hatch,Rare,JP,59000
Hoonigan,1955,Chevrolet Bel Air,Rods & Customs,Rare,US,76000
Hoonigan,1965,"Ford ""Hoonicorn"" Mustang",Drift Cars,Epic,US,500000
Hoonigan,1965,Gymkhana 10 Ford Hoonicorn Mustang,Drift Cars,Epic,US,500000
Hoonigan,1972,Chevrolet Napalm Nova,Classic Muscle,Rare,US,50000
Hoonigan,1973,Volkswagen Baja Beetle Class 5/1600 'Scumbug',Buggies,Rare,US,300000
Hoonigan,1977,Gymkhana 10 Ford F-150 'Hoonitruck',Drift Cars,Epic,US,500000
Hoonigan,1978,Ford Escort RS1800,Rally Monsters,Epic,US,300000
Hoonigan,1986,Ford RS200 Evolution,Rally Monsters,Epic,US,500000
Hoonigan,1991,Gymkhana 10 Ford Escort Cosworth Group A,Rally Monsters,Epic,US,500000
Hoonigan,1991,Rauh-Welt Begriff Porsche 911 Turbo,Retro Supercars,Rare,US,160000
Hoonigan,1992,Mazda RX-7 Twerkstallion,Drift Cars,Rare,US,50000
Hoonigan,1994,"Ford Escort RS Cosworth WRC ""Cossie V2""",Rally Monsters,Epic,US,500000
Hoonigan,2016,GYMKHANA 9 Ford Focus RS RX,Rally Monsters,Legendary,US,500000
Hoonigan,2016,GYMKHANA 10 Ford Focus RS RX,Rally Monsters,Epic,US,500000
Hot Wheels,1949,Ford F-5 Dually Custom Hot Rod,Rods & Customs,Legendary,US,250000
Hot Wheels,1957,Nash Metropolitan Custom,Rods & Customs,Legendary,US,250000
Hot Wheels,1969,Twin Mill,Rods & Customs,Legendary,US,110000
Hot Wheels,1970,Pontiac Firebird Trans Am Custom,Track Toys,Legendary,US,300000
Hot Wheels,2000,Deora II,Rods & Customs,Legendary,US,500000
Hot Wheels,2005,Ford Mustang,Track Toys,Legendary,US,300000
Hot Wheels,2011,Bone Shaker,Rods & Customs,Legendary,US,150000
Hot Wheels,2012,Rip Rod,Unlimited Buggies,Legendary,US,300000
Hot Wheels,2012,Bad to the Blade,Extreme Track Toys,Epic,US,200000
Hot Wheels,2013,Baja Bone Shaker,Unlimited Offroad,Legendary,US,150000
Hot Wheels,2018,2JetZ,Rods & Customs,Legendary,US,250000
Hot Wheels,2020,Monster Trucks Bone Shaker,-,-,US,-
HSV,2014,Limited Edition Gen-F GTS Maloo,Vans & Utility,Rare,AU,62000
HSV,2014,GEN-F GTS,Modern Muscle,Common,AU,75000
HUMMER,2006,H1 Alpha,Pickups & 4x4s,Rare,US,112000
Hyundai,2019,Veloster N,Super Hot Hatch,Epic,KR,30000
Hyundai,2020,i30 N,Super Hot Hatch,Rare,KR,250000
Hyundai,2021,#98 Bryan Herta Autosport Elantra N,Track Toys,Rare,KR,250000
Hyundai,2022,IONIQ 6,Super Saloons,Rare,KR,250000
Hyundai,2022,KONA N,Sports Utility Heroes,Rare,KR,250000
Infiniti,2015,Q60 Concept,Super Saloons,Common,US,50000
International,1970,Scout 800A,Pickups & 4x4s,Common,US,40000
Italdesign,2018,Zerouno,Hypercars,Legendary,IT,2400000
Italdesign,2019,DaVinci Concept,GT Cars,Rare,IT,150000
Jaguar,1953,C-Type,Classic Racers,Legendary,GB,5000000
Jaguar,1956,D-Type,Classic Racers,Legendary,GB,22000000
Jaguar,1959,Mk II 3.8,Classic Racers,Epic,GB,80000
Jaguar,1961,E-type,Rare Classics,Epic,GB,150000
Jaguar,1964,Lightweight E-Type,Classic Racers,Legendary,GB,7500000
Jaguar,1966,XJ13,Classic Racers,Rare,GB,18000000
Jaguar,1991,Sport XJR-15,Retro Supercars,Legendary,GB,500000
Jaguar,1993,XJ220,Retro Supercars,Legendary,GB,350000
Jaguar,1993,XJ220S TWR,Retro Supercars,Rare,GB,400000
Jaguar,2010,C-X75,Modern Supercars,Legendary,GB,1500000
Jaguar,2012,XKR-S,GT Cars,Rare,GB,100000
Jaguar,2015,F-TYPE R Coupé,GT Cars,Epic,GB,110000
Jaguar,2015,XKR-S GT,Track Toys,Epic,GB,250000
Jaguar,2015,XFR-S,Super Saloons,Rare,GB,110000
Jaguar,2015,XE-S,Super Saloons,Common,GB,57000
Jaguar,2016,F-TYPE Project 7,Track Toys,Epic,GB,190000
Jaguar,2017,F-PACE S,Sports Utility Heroes,Common,GB,55000
Jaguar,2018,I-PACE,Sports Utility Heroes,Rare,GB,87000
Jaguar,2019,XE SV Project 8,Track Toys,Rare,GB,200000
Jaguar,2020,F-TYPE SVR,GT Cars,Rare,GB,250000
Jeep,1976,CJ5 Renegade,Pickups & 4x4s,Common,US,60000
Jeep,2012,Wrangler Rubicon,Pickups & 4x4s,Common,US,50000
Jeep,2012,Wrangler Rubicon,-,-,US,-
Jeep,2014,Grand Cherokee SRT,Sports Utility Heroes,Common,US,80000
Jeep,2016,Trailcat,Unlimited Offroad,Rare,US,75000
Jeep,2018,Grand Cherokee Trackhawk,Sports Utility Heroes,Common,US,73000
Jeep,2020,Gladiator Rubicon,Pickups & 4x4s,Common,US,45000
Jimco,2019,#240 Fastball Racing Spec Trophy Truck,Unlimited Offroad,Epic,US,350000
Jimco,2020,#179 Hammerhead Class 1,Unlimited Buggies,Rare,US,150000
Koenigsegg,2002,CC8S,Hypercars,Epic,SE,400000
Koenigsegg,2006,CCX,Hypercars,Legendary,SE,600000
Koenigsegg,2008,CCGT,Extreme Track Toys,Legendary,SE,1000000
Koenigsegg,2011,Agera,Hypercars,Legendary,SE,1500000
Koenigsegg,2015,One:1,Hypercars,Legendary,SE,2800000
Koenigsegg,2016,Regera,Hypercars,Legendary,SE,1900000
Koenigsegg,2017,Agera RS,Hypercars,Legendary,SE,2000000
Koenigsegg,2020,Jesko,Hypercars,Legendary,SE,2800000
KTM,2013,X-Bow R,Track Toys,Rare,AT,105000
KTM,2018,X-Bow GT4,Extreme Track Toys,Epic,AT,400000
KTM,2020,X-Bow GT2,Extreme Track Toys,Epic,AT,500000
Lamborghini,1967,Miura P400,Rare Classics,Legendary,IT,1000000
Lamborghini,1973,Espada 400 GT,Retro Supercars,Rare,IT,110000
Lamborghini,1986,LM 002,Pickups & 4x4s,Epic,IT,180000
Lamborghini,1988,Countach LP5000 QV,Retro Supercars,Epic,IT,220000
Lamborghini,1997,Diablo SV,Retro Supercars,Epic,IT,174000
Lamborghini,1999,Diablo GTR,Extreme Track Toys,Epic,IT,1000000
Lamborghini,2008,Reventón,Modern Supercars,Legendary,IT,1375000
Lamborghini,2010,Murciélago LP 670-4 SV,Modern Supercars,Epic,IT,500000
Lamborghini,2011,Sesto Elemento Forza Edition,Extreme Track Toys,Forza Edition,IT,2750000
Lamborghini,2011,Sesto Elemento,Extreme Track Toys,Legendary,IT,2500000
Lamborghini,2011,Gallardo LP 570-4 Superleggera,Modern Supercars,Epic,IT,280000
Lamborghini,2012,Aventador J,Hypercars,Epic,IT,2700000
Lamborghini,2012,Aventador LP700-4,Hypercars,Epic,IT,380000
Lamborghini,2012,Gallardo LP570-4 Spyder Performante,Modern Supercars,Epic,IT,280000
Lamborghini,2013,Veneno,Hypercars,Legendary,IT,3000000
Lamborghini,2014,Huracán LP 610-4,Modern Supercars,Epic,IT,240000
Lamborghini,2016,Centenario LP 770-4,Hypercars,Legendary,IT,2300000
Lamborghini,2016,Aventador Superveloce,Hypercars,Epic,IT,480000
Lamborghini,2018,#63 Squadra Corse Huracán Super Trofeo Evo,Extreme Track Toys,Legendary,IT,400000
Lamborghini,2018,Aventador SVJ,Hypercars,Legendary,IT,500000
Lamborghini,2018,Huracán Performante,Track Toys,Epic,IT,275000
Lamborghini,2019,Urus,Sports Utility Heroes,Rare,IT,150000
Lamborghini,2020,Essenza SCV12,Extreme Track Toys,Legendary,IT,5000000
Lamborghini,2020,Huracán STO,Track Toys,Legendary,IT,450000
Lamborghini,2020,SC20,Hypercars,Legendary,IT,2500000
Lamborghini,2020,Sián Roadster,Hypercars,Legendary,IT,3500000
Lamborghini,2020,Huracán EVO,Modern Supercars,Rare,IT,340000
Lamborghini,2023,Huracán Tecnica,Modern Supercars,Legendary,IT,250000
Lancia,1968,Fulvia Coupé Rallye 1.6 HF,Classic Rally,Rare,IT,250000
Lancia,1974,Stratos HF Stradale,Classic Rally,Rare,IT,550000
Lancia,1982,037 Stradale,Retro Rally,Rare,IT,750000
Lancia,1986,Delta S4,Retro Rally,Rare,IT,1000000
Lancia,1992,Delta HF Integrale EVO,Retro Rally,Common,IT,100000
Land Rover,1972,Series III,Pickups & 4x4s,Common,GB,20000
Land Rover,1973,Range Rover,Pickups & 4x4s,Common,GB,50000
Land Rover,1997,Defender 90,Pickups & 4x4s,Common,GB,30000
Land Rover,2015,Range Rover Sport SVR,Sports Utility Heroes,Rare,GB,133000
Land Rover,2018,Range Rover Velar First Edition,Sports Utility Heroes,Rare,GB,85000
Land Rover,2020,Defender 110 X,Sports Utility Heroes,Common,GB,80000
Lexus,1997,SC300,Retro Sports Cars,Rare,US,25000
Lexus,2010,LFA,Modern Supercars,Epic,US,500000
Lexus,2015,RC F,Super Saloons,Rare,US,75000
Lexus,2020,#14 VASSER SULLIVAN RC F GT3,Extreme Track Toys,Rare,US,295000
Lexus,2020,RC F Track Edition,Track Toys,Rare,US,100000
Lexus,2021,LC 500,GT Cars,Rare,US,250000
Lincoln,1962,Continental,Rods & Customs,Epic,US,250000
Local Motors,2014,Rally Fighter,Unlimited Offroad,Rare,US,100000
Lola,1969,#6 Penske Sunoco T70 MKIIIB,Classic Racers,Epic,GB,850000
Lotus,1971,Elan Sprint,Classic Sports Cars,Common,GB,57000
Lotus,1997,Elise GT1,Retro Supercars,Legendary,GB,1800000
Lotus,1999,Elise Series 1 Sport 190,Retro Sports Cars,Common,GB,81000
Lotus,2000,340R,Track Toys,Rare,GB,250000
Lotus,2002,Esprit V8,Retro Supercars,Rare,GB,250000
Lotus,2009,2-Eleven,Track Toys,Epic,GB,250000
Lotus,2012,Exige S,Modern Sports Cars,Rare,GB,85000
Lotus,2016,3-Eleven,Track Toys,Epic,GB,150000
Lotus,2020,Evija,Hypercars,Legendary,GB,2500000
Lotus,2023,Emira,Modern Sports Cars,Rare,GB,95000
Lucid,2023,Air Sapphire,Super Saloons,Rare,US,250000
Lynk & Co,2020,#100 Cyan Racing 03,Track Toys,Rare,CN,250000
Lynk & Co,2021,03+,Super Saloons,Rare,CN,250000
Lynk & Co,2022,02 Hatchback,Hot Hatch,Rare,CN,250000
Lynk & Co,2022,05+,Sports Utility Heroes,Rare,CN,42000
Maserati,1939,8CTF,Vintage Racers,Legendary,IT,10000000
Maserati,2008,MC12 Versione Corsa,Extreme Track Toys,Legendary,IT,2500000
Maserati,2010,Gran Turismo S Forza Edition,Track Toys,Forza Edition,IT,500000
Maserati,2010,Gran Turismo S,GT Cars,Epic,IT,156000
Maserati,2017,Levante S,Sports Utility Heroes,Common,IT,85000
Mazda,1990,Savanna RX-7,Retro Sports Cars,Epic,JP,25000
Mazda,1992,323 GT-R,Retro Rally,Common,JP,25000
Mazda,1994,MX-5 Miata,Retro Sports Cars,Common,JP,25000
Mazda,1997,RX-7,Retro Sports Cars,Common,JP,35000
Mazda,2002,RX-7 Spirit R Type-A,Retro Sports Cars,Rare,JP,30000
Mazda,2005,Mazdaspeed MX-5,Retro Sports Cars,Common,JP,25000
Mazda,2010,3 Traffic,-,-,JP,-
Mazda,2011,RX-8 R3,Modern Sports Cars,Rare,JP,27000
Mazda,2013,MX-5,Modern Sports Cars,Common,JP,26000
Mazda,2016,MX-5,Modern Sports Cars,Common,JP,35000
McLaren,1993,F1,Retro Supercars,Legendary,GB,15000000
McLaren,1997,F1 GT,Retro Supercars,Legendary,GB,15000000
McLaren,2011,12C Coupé,Modern Supercars,Epic,GB,250000
McLaren,2013,P1,Hypercars,Legendary,GB,1350000
McLaren,2014,650S Spider,Modern Supercars,Epic,GB,420000
McLaren,2015,570S Coupé,Modern Supercars,Epic,GB,224000
McLaren,2015,650S Coupé,Modern Supercars,Epic,GB,420000
McLaren,2018,Senna,Hypercars,Legendary,GB,1000000
McLaren,2018,600LT Coupé,Track Toys,Epic,GB,260000
McLaren,2018,720S Coupé,Modern Supercars,Epic,GB,340000
McLaren,2019,Speedtail,Hypercars,Legendary,GB,2250000
McLaren,2019,720S Spider,Modern Supercars,Epic,GB,340000
McLaren,2020,GT,Super GT,Common,GB,210000
McLaren,2021,620R,Track Toys,Epic,GB,400000
McLaren,2021,765LT Coupe,Track Toys,Epic,GB,400000
McLaren,2021,Sabre,Hypercars,Epic,GB,4000000
McLaren,2023,Artura,Modern Supercars,Epic,GB,285000
Mercedes-AMG,2015,GT S,Super GT,Rare,DE,250000
Mercedes-AMG,2016,C 63 S Coupé,Super Saloons,Rare,DE,90000
Mercedes-AMG,2017,GT R,Super GT,Epic,DE,295000
Mercedes-AMG,2018,E 63 S,Super Saloons,Epic,DE,135000
Mercedes-AMG,2018,GT 4-Door Coupé,Super Saloons,Epic,DE,175000
Mercedes-AMG,2018,GT3,Extreme Track Toys,Rare,DE,305000
Mercedes-AMG,2021,Mercedes-AMG ONE,Hypercars,Legendary,DE,2700000
Mercedes-AMG,2021,GT Black Series,Track Toys,Epic,DE,325000
Mercedes-AMG,2021,SL 63,Super Saloons,Rare,DE,250000
Mercedes-Benz,1929,SSK,Rare Classics,Legendary,DE,7500000
Mercedes-Benz,1939,W154,Vintage Racers,Legendary,DE,20000000
Mercedes-Benz,1954,300 SL Coupé,Rare Classics,Legendary,DE,1200000
Mercedes-Benz,1955,300 SLR,Classic Racers,Legendary,DE,143000000
Mercedes-Benz,1967,280 SL,Rare Classics,Rare,DE,250000
Mercedes-Benz,1987,AMG Hammer Wagon,Retro Saloons,Legendary,DE,200000
Mercedes-Benz,1987,AMG Hammer Coupe,Retro Saloons,Common,DE,165000
Mercedes-Benz,1990,190E 2.5-16 Evolution II,Retro Saloons,Rare,DE,150000
Mercedes-Benz,1992,500 E,Retro Saloons,Rare,DE,250000
Mercedes-Benz,1998,AMG CLK GTR Forza Edition,Retro Supercars,Forza Edition,DE,2250000
Mercedes-Benz,1998,AMG CLK GTR,Extreme Track Toys,Legendary,DE,2000000
Mercedes-Benz,2009,SL 65 AMG Black Series,Super GT,Epic,DE,300000
Mercedes-Benz,2011,SLS AMG,Super GT,Epic,DE,200000
Mercedes-Benz,2012,C 63 AMG Coupé Black Series,Super Saloons,Rare,DE,150000
Mercedes-Benz,2012,SLK 55 AMG,Modern Sports Cars,Rare,DE,78000
Mercedes-Benz,2013,A 45 AMG,Super Hot Hatch,Rare,DE,65000
Mercedes-Benz,2013,E 63 AMG,Super Saloons,Rare,DE,105000
Mercedes-Benz,2013,G 65 AMG,Pickups & 4x4s,Rare,DE,350000
Mercedes-Benz,2014,G 63 AMG 6x6,Pickups & 4x4s,Epic,DE,525000
Mercedes-Benz,2014,Unimog U5023,Trucks,Rare,DE,100000
Mercedes-Benz,2015,#24 Tankpool24 Racing Truck Forza Edition,Unlimited Offroad,Forza Edition,DE,750000
Mercedes-Benz,2015,#24 Tankpool24 Racing Truck,Trucks,Epic,DE,500000
Mercedes-Benz,2018,X-Class,Pickups & 4x4s,Common,DE,65000
Mercedes-Benz,2018,X-Class,-,-,DE,-
Mercury,1970,Cyclone Spoiler,Classic Muscle,Rare,US,35000
Meyers,1971,Manx Forza Edition,Track Toys,Forza Edition,US,500000
Meyers,1971,Manx,Cult Classics,Epic,US,35000
Meyers,2023,Manx 2.0 EV,Buggies,Epic,US,250000
MG,1986,Metro 6R4,Rally Monsters,Legendary,GB,125000
MG,1986,Metro 6R4,-,-,GB,-
MG,2005,XPower SV-R,Retro Sports Cars,Rare,GB,50000
MG,2015,MG3,Hot Hatch,Rare,GB,250000
MG,2020,#20 MG6 XPower,Track Toys,Rare,GB,250000
MG,2021,MG6 XPower,Super Saloons,Rare,GB,250000
MG,2023,Cyberster,GT Cars,Rare,GB,90000
MG,2023,MG7,Super Saloons,Rare,GB,250000
MINI,1965,Cooper S Forza Edition,Super Hot Hatch,Forza Edition,GB,500000
MINI,1965,Cooper S,Classic Rally,Rare,GB,30000
MINI,2009,John Cooper Works,Hot Hatch,Common,GB,25000
MINI,2012,John Cooper Works GP,Hot Hatch,Rare,GB,38000
MINI,2013,X-Raid All4 Racing Countryman,Offroad,Epic,GB,250000
MINI,2018,X-Raid John Cooper Works Buggy,Offroad,Epic,GB,250000
MINI,2018,John Cooper Works Countryman All4,Sports Utility Heroes,Common,GB,38500
MINI,2021,John Cooper Works GP,Super Hot Hatch,Rare,GB,42000
Mitsubishi,1988,Starion ESI-R,Retro Sports Cars,Rare,JP,20000
Mitsubishi,1992,Galant VR-4,Retro Rally,Rare,JP,250000
Mitsubishi,1992,Galant Traffic,-,-,JP,-
Mitsubishi,1995,Eclipse GSX,Retro Sports Cars,Common,JP,25000
Mitsubishi,1997,GTO,Retro Sports Cars,Common,JP,20000
Mitsubishi,1999,Lancer Evolution VI GSR,Retro Rally,Rare,JP,28000
Mitsubishi,2004,Lancer Evolution VIII MR,Modern Rally,Rare,JP,31000
Mitsubishi,2005,#1 Sierra Sierra Enterprises Lancer Evolution Time Attack,Extreme Track Toys,Legendary,JP,300000
Mitsubishi,2006,Lancer Evolution IX MR,Modern Rally,Rare,JP,27000
Mitsubishi,2008,Lancer Evolution X GSR,Modern Rally,Rare,JP,43000
Mitsubishi,2008,"Lancer Evolution X GSR ""Welcome Pack""",Modern Rally,Common,JP,43000
Morgan,2014,3 Wheeler,Cult Classics,Common,GB,50000
Morgan,2019,Aero GT,Track Toys,Rare,GB,150000
Morris,1953,Minor 1000 Forza Edition,Track Toys,Forza Edition,GB,500000
Morris,1953,Minor 1000,Cult Classics,Common,GB,20000
Morris,1953,Minor Series II Traveler,Vans & Utility,Common,GB,250000
Morris,1965,Mini-Traveller,Vans & Utility,Common,GB,250000
Mosler,2006,MT900 GT3,Extreme Track Toys,Rare,US,500000
Mosler,2010,MT900S,Extreme Track Toys,Epic,US,320000
Napier,1933,Napier-Railton,Vintage Racers,Legendary,GB,1500000
NIO,2016,EP9,Hypercars,Legendary,CN,1500000
Nissan,1969,Fairlady Z 432,Classic Sports Cars,Epic,JP,150000
Nissan,1971,Skyline 2000GT-R,Classic Sports Cars,Rare,JP,60000
Nissan,1973,Skyline H/T 2000GT-R,Classic Sports Cars,Epic,JP,170000
Nissan,1985,Safari Turbo,Pickups & 4x4s,Common,JP,250000
Nissan,1987,Skyline GTS-R (HR31),Retro Sports Cars,Common,JP,100000
Nissan,1990,Pulsar GTI-R,Retro Rally,Rare,JP,20000
Nissan,1992,Silvia CLUB K's,Retro Sports Cars,Common,JP,25000
Nissan,1993,Skyline GT-R V-Spec,Retro Sports Cars,Rare,JP,85000
Nissan,1993,240SX SE,Retro Sports Cars,Common,JP,25000
Nissan,1994,Fairlady Z Version S Twin Turbo,Retro Sports Cars,Common,JP,20000
Nissan,1994,Silvia K's,Retro Sports Cars,Common,JP,25000
Nissan,1995,Nismo GT-R LM,Retro Sports Cars,Legendary,JP,1100000
Nissan,1997,Skyline GT-R V-Spec,Retro Sports Cars,Rare,JP,37000
Nissan,1998,R390 (GT1),Retro Supercars,Legendary,JP,1250000
Nissan,1998,Silvia K's AERO,Retro Sports Cars,Common,JP,25000
Nissan,2000,Silvia Spec-R,Retro Sports Cars,Common,JP,35000
Nissan,2002,Skyline GT-R V-Spec II,Retro Sports Cars,Rare,JP,63000
Nissan,2003,Fairlady Z Forza Edition,Unlimited Offroad,Forza Edition,JP,500000
Nissan,2003,Donut Media 350Z 'Hi Car',Track Toys,Legendary,JP,250000
Nissan,2003,Fairlady Z,Retro Sports Cars,Common,JP,35000
Nissan,2004,Donut Media 350Z 'Low Car',Track Toys,Legendary,JP,250000
Nissan,2004,Pickup #23 Rally Raid,Unlimited Offroad,Epic,JP,500000
Nissan,2010,Tsuru,Retro Saloons,Legendary,JP,250000
Nissan,2010,370Z,Modern Sports Cars,Common,JP,40000
Nissan,2012,GT-R Black Edition (R35),Modern Supercars,Rare,JP,105000
Nissan,2016,TITAN Warrior Concept,Pickups & 4x4s,Common,JP,50000
Nissan,2017,GT-R (R35),Modern Supercars,Rare,JP,132000
Nissan,2018,Sentra NISMO,Super Saloons,Rare,JP,250000
Nissan,2019,370Z Nismo,Modern Sports Cars,Rare,JP,50000
Nissan,2020,GT-R Nismo (R35),Track Toys,Epic,JP,250000
Nissan,2023,Z,Modern Sports Cars,Rare,JP,250000
Noble,2006,M400,Track Toys,Rare,GB,100000
Noble,2010,M600,Modern Supercars,Epic,GB,450000
Oldsmobile,1966,Toronado,Classic Muscle,Common,US,35000
Opel,1984,Manta 400,Rally Monsters,Rare,DE,100000
Pagani,2009,Zonda Cinque Roadster,Hypercars,Legendary,IT,2100000
Pagani,2009,Zonda Cinque Roadster 'Oreo Edition',Hypercars,Legendary,IT,2100000
Pagani,2010,Zonda R,Extreme Track Toys,Legendary,IT,1800000
Pagani,2012,Huayra,Hypercars,Legendary,IT,1400000
Pagani,2016,Huayra BC Forza Edition,Extreme Track Toys,Forza Edition,IT,2700000
Pagani,2016,Huayra BC,Hypercars,Legendary,IT,2700000
Pagani,2022,Huayra R,Extreme Track Toys,Legendary,IT,3100000
Peel,1962,P50,Cult Classics,Legendary,GB,250000
Peel,1965,Trident,Cult Classics,Rare,GB,250000
Penhall,2011,The Cholla,Unlimited Buggies,Rare,US,100000
Peugeot,1984,205 Turbo 16,Retro Rally,Legendary,FR,200000
Peugeot,1984,205 T16,Retro Rally,-,FR,-
Peugeot,1991,205 Rallye,Retro Hot Hatch,Rare,FR,20000
Peugeot,2007,207 Super 2000,Rally Monsters,Rare,FR,150000
Plymouth,1958,Fury,Rods & Customs,Rare,US,250000
Plymouth,1964,Belvedere,Classic Muscle,Rare,US,250000
Plymouth,1968,Barracuda Formula-S,Classic Muscle,Rare,US,250000
Plymouth,1971,Cuda 426 HEMI,Classic Muscle,Epic,US,160000
Polaris,2015,RZR XP 1000 EPS,UTVs,Common,US,25000
Polaris,2021,RZR Pro XP Factory Racing Limited,UTVs,Rare,US,75000
Polaris,2021,RZR Pro XP Ultimate,UTVs,Rare,US,250000
Pontiac,1965,GTO,Classic Muscle,Common,US,48000
Pontiac,1968,Firebird,Classic Muscle,Epic,US,250000
Pontiac,1969,GTO Judge,Classic Muscle,Rare,US,250000
Pontiac,1973,Firebird Trans Am SD-455,Classic Muscle,Common,US,250000
Pontiac,1977,Firebird Trans Am,Classic Muscle,Rare,US,45000
Pontiac,1987,Firebird Trans Am GTA Forza Edition,Track Toys,Forza Edition,US,500000
Pontiac,1987,Firebird Trans Am GTA,Retro Muscle,Common,US,25000
Porsche,1951,#46 356 SL Gmünd Coupe,Classic Racers,Legendary,DE,1000000
Porsche,1955,550A Spyder,Classic Racers,Legendary,DE,600000
Porsche,1959,356 A 1600 Super,Rare Classics,Epic,DE,240000
Porsche,1960,356 C Cabriolet Emory Special,Classic Sports Cars,Epic,DE,400000
Porsche,1966,906 Carrera 6,Classic Racers,Legendary,DE,2000000
Porsche,1970,#3 917 LH,Classic Racers,Legendary,DE,15000000
Porsche,1970,914/6,Classic Sports Cars,Rare,DE,24000
Porsche,1971,#23 917/20,Classic Racers,Legendary,DE,15000000
Porsche,1973,911 Carrera RS,Rare Classics,Legendary,DE,350000
Porsche,1982,911 Turbo 3.3,Retro Supercars,Epic,DE,150000
Porsche,1985,#185 959 Prodrive Rally Raid,Rally Monsters,Legendary,DE,1500000
Porsche,1987,959,Retro Supercars,Legendary,DE,2000000
Porsche,1989,"#65 Rothsport Racing 911 ""Desert Flyer""",Rally Monsters,Epic,DE,500000
Porsche,1989,944 Turbo,Retro Sports Cars,Rare,DE,35000
Porsche,1990,911 Reimagined by Singer - DLS,Modern Supercars,Epic,DE,1800000
Porsche,1993,968 Turbo S,Retro Sports Cars,Rare,DE,140000
Porsche,1995,911 Carrera 2 by Gunther Werks,Modern Sports Cars,Epic,DE,575000
Porsche,1995,911 GT2,Retro Supercars,Epic,DE,550000
Porsche,1998,911 GT1 Strassenversion,Retro Supercars,Legendary,DE,2500000
Porsche,2003,Carrera GT,Retro Supercars,Epic,DE,1000000
Porsche,2004,911 GT3,Retro Supercars,Rare,DE,65000
Porsche,2010,911 Sport Classic,Modern Supercars,Epic,DE,205000
Porsche,2012,911 GT2 RS,Track Toys,Epic,DE,240000
Porsche,2012,911 GT3 RS 4.0,Track Toys,Epic,DE,250000
Porsche,2014,918 Spyder,Hypercars,Legendary,DE,850000
Porsche,2014,911 Turbo S,Modern Supercars,Rare,DE,150000
Porsche,2015,Cayman GTS,Modern Sports Cars,Rare,DE,80000
Porsche,2016,911 GT3 RS,Track Toys,Epic,DE,235000
Porsche,2016,Cayman GT4,Track Toys,Rare,DE,85000
Porsche,2017,#92 Porsche GT Team 911 RSR,Extreme Track Toys,Epic,DE,650000
Porsche,2017,Panamera Turbo,Super Saloons,Rare,DE,150000
Porsche,2018,718 Cayman GTS,Modern Sports Cars,Epic,DE,90000
Porsche,2018,911 GT2 RS,Track Toys,Epic,DE,315000
Porsche,2018,Cayenne Turbo,Sports Utility Heroes,Epic,DE,220000
Porsche,2018,Macan LPR Rally Raid,Offroad,Epic,DE,250000
Porsche,2018,911 GT3 R,Extreme Track Toys,Rare,DE,500000
Porsche,2019,911 GT3 RS Forza Edition,Rally Monsters,Forza Edition,DE,255000
Porsche,2019,#70 Porsche Motorsport 935,Extreme Track Toys,Legendary,DE,1000000
Porsche,2019,911 GT3 RS,Track Toys,Epic,DE,255000
Porsche,2019,911 Carrera S,Modern Sports Cars,Rare,DE,105000
Porsche,2019,911 Speedster,Modern Sports Cars,Rare,DE,275000
Porsche,2019,Macan Turbo,Sports Utility Heroes,Rare,DE,135000
Porsche,2020,Taycan Turbo S,Super Saloons,Common,DE,185000
Porsche,2020,"Taycan Turbo S ""Welcome Pack""",Super Saloons,Common,DE,185000
Porsche,2021,911 GT3,Track Toys,Epic,DE,250000
Porsche,2022,Mission R,Extreme Track Toys,Legendary,DE,10000000
Porsche,2022,718 Cayman GT4 RS,Track Toys,Epic,DE,150000
Radical,2015,RXC Turbo,Extreme Track Toys,Epic,GB,330000
RAESR,2019,Tachyon Speed,Hypercars,Epic,US,1050000
Ram,2017,2500 Power Wagon,Pickups & 4x4s,Common,US,47000
Reliant,1972,Supervan III,Cult Classics,Common,GB,35000
Renault,1967,8 Gordini,Classic Rally,Common,FR,65000
Renault,1968,4L Export,Cult Classics,Legendary,FR,20000
Renault,1980,5 Turbo,Retro Rally,Rare,FR,120000
Renault,1993,Clio Williams,Retro Hot Hatch,Common,FR,30000
Renault,2008,Mégane R26.R,Super Hot Hatch,Rare,FR,28000
Renault,2010,Clio R.S.,Hot Hatch,Common,FR,250000
Renault,2010,Megane RS 250,Super Hot Hatch,Common,FR,250000
Renault,2013,Clio R.S. 200 EDC,Hot Hatch,Common,FR,29000
Renault,2016,Clio R.S. 16 Concept,Super Hot Hatch,Rare,FR,250000
Renault,2018,MEGANE R.S.,Super Hot Hatch,Rare,FR,37000
Rimac,2019,Concept Two,Hypercars,Legendary,HR,2000000
Rimac,2021,Nevera,Hypercars,Legendary,HR,3000000
Rivian,2022,R1T,Pickups & 4x4s,Epic,US,250000
Rivian,2022,R1S,Sports Utility Heroes,Rare,US,250000
RJ Anderson,2016,#37 Polaris RZR-Rockstar Energy Pro 2 Truck,Unlimited Offroad,Epic,US,500000
